prevalence,auc,ap,alert_fraction,alert_budget,precision_at_budget,recall_at_budget,target_fpr,tpr_at_fpr,threshold,precision,recall,f1,mcc,observed_fpr,score_direction,inverse_auc_diagnostic,test_normal_score_median,test_anomaly_score_median,normal_calibration_score_median,normal_calibration_score_q95,dataset,variant,experimental_stage,seed,epochs_completed,training_seconds,parameters,peak_gpu_memory_mb,device,checkpoint_selection,threshold_source,scoring_protocol,train_graphs,subset_sampling,matrix,status,error
0.5,0.45634399999999997,0.4797123787917952,0.01,10.0,0.7,0.014,0.01,0.028,0.0007098730315919966,0.75,0.018,0.03515625,0.05510387687779838,0.006,higher_is_more_anomalous,0.5436559999999999,0.0006229747377801687,0.0006210623250808567,0.0006225694669410586,0.0006838159344624728,TraceLog,DHAGNN-fair,final_table_2025_2026_native_baseline,11,30,6.967455703765154,55297,72.2587890625,cuda,fixed_epoch,normal_train_scores,dhagnn_native_graph_one_class,1000,seeded_stratified_random,main_table_2025_2026_native_baselines,complete,
0.5,0.547208,0.6146331879577205,0.01,10.0,0.7,0.014,0.01,0.15,0.0002818575012497604,0.9615384615384616,0.15,0.25951557093425603,0.26848481915085415,0.006,higher_is_more_anomalous,0.452792,0.00023944950225995854,0.00023916264035506174,0.00023802366195013747,0.00025883404887281356,TraceLog,DHAGNN-fair,final_table_2025_2026_native_baseline,22,30,7.344425009563565,55297,72.294921875,cuda,fixed_epoch,normal_train_scores,dhagnn_native_graph_one_class,1000,seeded_stratified_random,main_table_2025_2026_native_baselines,complete,
0.5,0.5187919999999999,0.5328426771596118,0.01,10.0,0.4,0.008,0.01,0.008,0.00031483665312407536,0.45454545454545453,0.01,0.019569471624266144,-0.009587502972875405,0.012,higher_is_more_anomalous,0.481208,0.00023377424804493785,0.0002333768643438816,0.00023265757045010105,0.00027729911962524054,TraceLog,DHAGNN-fair,final_table_2025_2026_native_baseline,33,30,9.039561631157994,55297,69.65673828125,cuda,fixed_epoch,normal_train_scores,dhagnn_native_graph_one_class,1000,seeded_stratified_random,main_table_2025_2026_native_baselines,complete,
0.5,0.12744140625,0.3476686791135942,0.01,2.0,0.0,0.0,0.01,0.0,0.003208272166084498,0.0,0.0,0.0,0.0,0.0,higher_is_more_anomalous,0.87255859375,0.0032081255922093987,0.0032079655211418867,0.0032081144163385034,0.003208267572335899,FlowGraph,DHAGNN-fair,final_table_2025_2026_native_baseline,11,30,13.602118995040655,56321,889.7890625,cuda,fixed_epoch,normal_train_scores,dhagnn_native_graph_one_class,128,seeded_stratified_random,main_table_2025_2026_native_baselines,complete,
0.5,0.951171875,0.9722194782935424,0.01,2.0,1.0,0.03125,0.01,0.9375,0.0036678845342248676,1.0,0.9375,0.967741935483871,0.9393364366277243,0.0,higher_is_more_anomalous,0.048828125,0.0036674656439572573,0.0036682994104921818,0.003667486133053899,0.0036677720840089024,FlowGraph,DHAGNN-fair,final_table_2025_2026_native_baseline,22,30,13.107503715902567,56321,864.5263671875,cuda,fixed_epoch,normal_train_scores,dhagnn_native_graph_one_class,128,seeded_stratified_random,main_table_2025_2026_native_baselines,complete,
0.5,0.97705078125,0.9867078726453726,0.01,2.0,1.0,0.03125,0.01,0.96875,0.0010249682201538236,1.0,0.96875,0.9841269841269841,0.9692233691951198,0.0,higher_is_more_anomalous,0.02294921875,0.0010216048685833812,0.001031581370625645,0.00102173542836681,0.0010248220409266652,FlowGraph,DHAGNN-fair,final_table_2025_2026_native_baseline,33,30,13.3231493961066,56321,868.01806640625,cuda,fixed_epoch,normal_train_scores,dhagnn_native_graph_one_class,128,seeded_stratified_random,main_table_2025_2026_native_baselines,complete,
0.5,0.768354,0.7078850684273358,0.01,10.0,0.3,0.006,0.01,0.004,0.0007951768022030587,0.6,0.054,0.09908256880733946,0.0434144763175453,0.036,higher_is_more_anomalous,0.23164600000000002,0.00044854449515696615,0.0005290138069540262,0.00047437287867069244,0.00061807781457901,ADFA-LD,DHAGNN-fair,final_table_2025_2026_native_baseline,11,30,9.737922385334969,64449,187.841796875,cuda,fixed_epoch,normal_train_scores,dhagnn_native_graph_one_class,833,seeded_stratified_random,main_table_2025_2026_native_baselines,complete,
0.5,0.715408,0.6789003299331888,0.01,10.0,0.2,0.004,0.01,0.002,0.0013168393960222595,0.7142857142857143,0.11,0.19064124783362218,0.12378491613904552,0.044,higher_is_more_anomalous,0.284592,0.0008593641978222877,0.0009650250431150198,0.0008166145998984575,0.0010996864410117268,ADFA-LD,DHAGNN-fair,final_table_2025_2026_native_baseline,22,30,7.909611178562045,64449,171.18994140625,cuda,fixed_epoch,normal_train_scores,dhagnn_native_graph_one_class,833,seeded_stratified_random,main_table_2025_2026_native_baselines,complete,
0.5,0.749708,0.7219857576849217,0.01,10.0,0.7,0.014,0.01,0.032,0.0007194965658709406,0.717391304347826,0.066,0.12087912087912088,0.09547219168770081,0.026,higher_is_more_anomalous,0.250292,0.0005136880499776453,0.0005618502327706665,0.0005262503400444984,0.0006458049407228828,ADFA-LD,DHAGNN-fair,final_table_2025_2026_native_baseline,33,30,7.887434413656592,64449,190.35888671875,cuda,fixed_epoch,normal_train_scores,dhagnn_native_graph_one_class,833,seeded_stratified_random,main_table_2025_2026_native_baselines,complete,
0.5,0.500076,0.552046538062227,0.01,10.0,0.9,0.018,0.01,0.068,3.2502316855698153e-07,0.8484848484848485,0.056,0.1050656660412758,0.12875308062620236,0.01,higher_is_more_anomalous,0.49992400000000004,6.908583571885174e-08,6.900210181015609e-08,6.882028458221612e-08,2.5308338820195785e-07,TraceLog,ChiGAD-fair,final_table_2025_2026_native_baseline,11,30,12.509071737527847,46980,77.72119140625,cuda,fixed_epoch,normal_train_scores,chigad_native_graph_one_class,1000,seeded_stratified_random,main_table_2025_2026_native_baselines,complete,
