prevalence,auc,ap,alert_fraction,alert_budget,precision_at_budget,recall_at_budget,target_fpr,tpr_at_fpr,threshold,precision,recall,f1,mcc,observed_fpr,score_direction,inverse_auc_diagnostic,test_normal_score_median,test_anomaly_score_median,normal_calibration_score_median,normal_calibration_score_q95,dataset,variant,experimental_stage,seed,epochs_completed,training_seconds,parameters,peak_gpu_memory_mb,device,checkpoint_selection,threshold_source,scoring_protocol,reference_graphs,normal_calibration_graphs,subset_sampling,official_source,train_graphs,numerically_stabilized,matrix,status,error
0.5,0.506132,0.4767596103763206,0.01,10.0,0.0,0.0,0.01,0.0,2.8308119773864746,0.0,0.0,0.0,-0.09529814069846938,0.018,higher_is_more_anomalous,0.493868,1.2469752430915833,1.706687092781067,1.4442455172538757,2.8231301307678223,TraceLog,GLADMamba-fair,first_main_table_not_final,11,30,74.43872816674411,79712,2894.59716796875,cuda,fixed_epoch,normal_train_scores,fixed_normal_reference_bank,64,936,seeded_stratified_random,external/GLADMamba,936,True,main_table_first_gladmamba,complete,
0.5,0.6745800000000001,0.7325229821259394,0.01,10.0,1.0,0.02,0.01,0.2,178.86260986328125,0.9351851851851852,0.202,0.33223684210526316,0.3028541636022648,0.014,higher_is_more_anomalous,0.32542,177.46533203125,178.27681732177734,177.46527099609375,178.86059951782227,TraceLog,GLADMamba-fair,first_main_table_not_final,22,30,112.96802284754813,79712,2843.2060546875,cuda,fixed_epoch,normal_train_scores,fixed_normal_reference_bank,64,936,seeded_stratified_random,external/GLADMamba,936,True,main_table_first_gladmamba,complete,
0.5,0.6516479999999998,0.6680807741837732,0.01,10.0,0.7,0.014,0.01,0.054,3.953059554100036,0.8478260869565217,0.078,0.14285714285714285,0.1527555067003213,0.014,higher_is_more_anomalous,0.348352,1.2694790363311768,3.065268397331238,1.2625533938407898,3.746177613735199,TraceLog,GLADMamba-fair,first_main_table_not_final,33,30,113.55254139751196,79712,2721.6484375,cuda,fixed_epoch,normal_train_scores,fixed_normal_reference_bank,64,936,seeded_stratified_random,external/GLADMamba,936,True,main_table_first_gladmamba,complete,
0.5,0.435546875,0.4347336499000206,0.01,1.0,0.0,0.0,0.01,0.0,258.0932366943359,0.0,0.0,0.0,0.0,0.0,higher_is_more_anomalous,0.564453125,257.2116241455078,256.90765380859375,257.22398376464844,257.8663269042969,FlowGraph,GLADMamba-fair,first_main_table_not_final,11,30,383.03314059600234,81536,7286.0263671875,cuda,fixed_epoch,normal_train_scores,fixed_normal_reference_bank,16,48,seeded_stratified_random,external/GLADMamba,48,True,main_table_first_gladmamba,complete,
0.5,0.7841796875,0.6493465092145857,0.01,1.0,0.0,0.0,0.01,0.0,4.010810837745668,0.0,0.0,0.0,-0.1259881576697424,0.03125,higher_is_more_anomalous,0.2158203125,1.6839833855628967,2.7871965169906616,1.6954445838928223,3.3438126683235168,FlowGraph,GLADMamba-fair,first_main_table_not_final,22,30,448.74719596654177,81536,7128.60595703125,cuda,fixed_epoch,normal_train_scores,fixed_normal_reference_bank,16,48,seeded_stratified_random,external/GLADMamba,48,True,main_table_first_gladmamba,complete,
0.5,0.97265625,0.9854166666666666,0.01,1.0,1.0,0.03125,0.01,0.96875,61.71668113708496,0.96875,0.96875,0.96875,0.9375,0.03125,higher_is_more_anomalous,0.02734375,61.425222396850586,63.52853965759277,61.39033889770508,61.70273609161377,FlowGraph,GLADMamba-fair,first_main_table_not_final,33,30,579.1714386418462,81536,7223.34814453125,cuda,fixed_epoch,normal_train_scores,fixed_normal_reference_bank,16,48,seeded_stratified_random,external/GLADMamba,48,True,main_table_first_gladmamba,complete,
0.3849938499384994,0.7260575079872205,0.70973676787187,0.01,9.0,1.0,0.02875399361022364,0.01,0.2971246006389776,4.010449075698852,0.9038461538461539,0.3003194888178914,0.45083932853717024,0.4083858408271247,0.02,higher_is_more_anomalous,0.2739424920127796,1.1073805093765259,2.5305747985839844,1.107380986213684,3.1482238173484802,HDFS,GLADMamba-fair,first_main_table_not_final,11,30,48.91248519718647,79808,74.0556640625,cuda,fixed_epoch,normal_train_scores,fixed_normal_reference_bank,64,936,seeded_stratified_random,external/GLADMamba,936,True,main_table_first_gladmamba,complete,
0.3849938499384994,0.7503897763578276,0.7670134008309165,0.01,9.0,1.0,0.02875399361022364,0.01,0.4728434504792332,4.594173288345328,0.9440993788819876,0.48562300319488816,0.6413502109704642,0.5709739595276391,0.018,higher_is_more_anomalous,0.24961022364217256,0.6295220851898193,3.0149221420288086,0.6295222043991089,2.5895078778266907,HDFS,GLADMamba-fair,first_main_table_not_final,22,30,48.36927465908229,79808,74.44287109375,cuda,fixed_epoch,normal_train_scores,fixed_normal_reference_bank,64,936,seeded_stratified_random,external/GLADMamba,936,True,main_table_first_gladmamba,complete,
0.3849938499384994,0.7591533546325878,0.7658350655705684,0.01,9.0,1.0,0.02875399361022364,0.01,0.43130990415335463,5.024770140647885,0.9493670886075949,0.4792332268370607,0.6369426751592356,0.569649447401402,0.016,higher_is_more_anomalous,0.24084664536741213,1.263014793395996,3.496788501739502,1.0535427927970886,2.9767801761627197,HDFS,GLADMamba-fair,first_main_table_not_final,33,30,48.26286743208766,79808,73.87353515625,cuda,fixed_epoch,normal_train_scores,fixed_normal_reference_bank,64,936,seeded_stratified_random,external/GLADMamba,936,True,main_table_first_gladmamba,complete,
0.5,0.525312,0.5551548772916934,0.01,10.0,0.8,0.016,0.01,0.03,4.790186252593988,0.6486486486486487,0.048,0.0893854748603352,0.058274516589756034,0.026,higher_is_more_anomalous,0.47468799999999994,1.8773012161254883,2.0257405042648315,1.2337117195129395,3.9903615951538085,ADFA-LD,GLADMamba-fair,first_main_table_not_final,11,30,244.24929127655923,79808,9396.21826171875,cuda,fixed_epoch,normal_train_scores,fixed_normal_reference_bank,64,769,seeded_stratified_random,external/GLADMamba,769,True,main_table_first_gladmamba,complete,
0.5,0.40556000000000003,0.4647606971636932,0.01,10.0,1.0,0.02,0.01,0.024,5.084746532440181,0.68,0.034,0.06476190476190476,0.05764613536983137,0.016,higher_is_more_anomalous,0.5944399999999999,1.7862814664840698,1.116960346698761,1.285725712776184,3.8347974300384515,ADFA-LD,GLADMamba-fair,first_main_table_not_final,22,30,272.2567982003093,79808,8739.38330078125,cuda,fixed_epoch,normal_train_scores,fixed_normal_reference_bank,64,769,seeded_stratified_random,external/GLADMamba,769,True,main_table_first_gladmamba,complete,
0.5,0.71456,0.6450055980933367,0.01,10.0,0.7,0.014,0.01,0.016,4.832357540130612,0.5769230769230769,0.03,0.057034220532319393,0.025135865215015138,0.022,higher_is_more_anomalous,0.28543999999999997,1.154874861240387,3.3031668663024902,1.4887454509735107,4.291526699066161,ADFA-LD,GLADMamba-fair,first_main_table_not_final,33,30,220.365415180102,79808,8535.8701171875,cuda,fixed_epoch,normal_train_scores,fixed_normal_reference_bank,64,769,seeded_stratified_random,external/GLADMamba,769,True,main_table_first_gladmamba,complete,
