prevalence,auc,ap,alert_fraction,alert_budget,precision_at_budget,recall_at_budget,target_fpr,tpr_at_fpr,threshold,precision,recall,f1,mcc,observed_fpr,score_direction,inverse_auc_diagnostic,test_normal_score_median,test_anomaly_score_median,normal_calibration_score_median,normal_calibration_score_q95,dataset,variant,experimental_stage,seed,epochs_completed,training_seconds,parameters,peak_gpu_memory_mb,device,checkpoint_selection,threshold_source,scoring_protocol,reference_graphs,normal_calibration_graphs,subset_sampling,official_source,train_graphs,numerically_stabilized,matrix,status,error
0.5,0.5365039999999999,0.5624926676446351,0.01,10.0,0.9,0.018,0.01,0.026,3.985370717048645,0.5714285714285714,0.064,0.11510791366906475,0.03479445003196105,0.048,higher_is_more_anomalous,0.463496,1.4369823932647705,2.691678285598755,1.5538573861122131,3.846705663204193,TraceLog,CVTGAD-fair,recent_sota_stability_tuning,44,60.0,258.5292811412364,2444122.0,4024.88671875,cuda,fixed_epoch,normal_train_scores,fixed_normal_reference_bank,128.0,872.0,seeded_stratified_random,external/CVTGAD,872.0,True,recent_sota_tuning_stable,complete,
0.5,0.4401999999999999,0.4619822426962641,0.01,10.0,1.0,0.02,0.01,0.034,4.228880276679993,0.5625,0.036,0.06766917293233082,0.022727272727272728,0.028,higher_is_more_anomalous,0.5598,2.774363398551941,2.926965832710266,2.5419737100601196,4.219614839553833,TraceLog,CVTGAD-fair,recent_sota_stability_tuning,55,60.0,306.5207187253982,2444122.0,3339.7451171875,cuda,fixed_epoch,normal_train_scores,fixed_normal_reference_bank,128.0,872.0,seeded_stratified_random,external/CVTGAD,872.0,True,recent_sota_tuning_stable,complete,
0.5,0.493,0.4894500581102663,0.01,10.0,0.9,0.018,0.01,0.028,4.229459443092345,0.8125,0.026,0.050387596899224806,0.07969708913291729,0.006,higher_is_more_anomalous,0.507,2.3092554807662964,3.363115072250366,2.228891968727112,4.205538010597229,TraceLog,CVTGAD-fair,recent_sota_stability_tuning,66,60.0,280.30011120438576,2444122.0,3657.5849609375,cuda,fixed_epoch,normal_train_scores,fixed_normal_reference_bank,128.0,872.0,seeded_stratified_random,external/CVTGAD,872.0,True,recent_sota_tuning_stable,complete,
0.5,0.75390625,0.6727862879602611,0.01,1.0,1.0,0.020833333333333332,0.01,0.10416666666666667,5.02433575630188,0.0,0.0,0.0,0.0,0.0,higher_is_more_anomalous,0.24609375000000003,2.163257598876953,2.952383518218994,2.0666967630386353,4.1085565090179434,FlowGraph,CVTGAD-fair,recent_sota_stability_tuning,44,60.0,2729.103817548603,2470076.0,10571.61962890625,cuda,fixed_epoch,normal_train_scores,fixed_normal_reference_bank,32.0,64.0,seeded_stratified_random,external/CVTGAD,64.0,True,recent_sota_tuning_stable,complete,
0.5,0.6059027777777778,0.5091382739387396,0.01,1.0,0.0,0.0,0.01,0.0,5.395225257873535,0.0,0.0,0.0,0.0,0.0,higher_is_more_anomalous,0.3940972222222222,2.6015491485595703,2.8136976957321167,2.394379496574402,5.023192977905273,FlowGraph,CVTGAD-fair,recent_sota_stability_tuning,55,60.0,2801.2514349892735,2470076.0,10872.041015625,cuda,fixed_epoch,normal_train_scores,fixed_normal_reference_bank,32.0,64.0,seeded_stratified_random,external/CVTGAD,64.0,True,recent_sota_tuning_stable,complete,
0.5,0.4409722222222222,0.43051849164066036,0.01,1.0,0.0,0.0,0.01,0.0,4.694010186195371,0.0,0.0,0.0,0.0,0.0,higher_is_more_anomalous,0.5590277777777778,3.176263451576233,3.0192595720291138,2.182143211364746,4.2444802045822145,FlowGraph,CVTGAD-fair,recent_sota_stability_tuning,66,60.0,2820.6146222595125,2470076.0,10810.076171875,cuda,fixed_epoch,normal_train_scores,fixed_normal_reference_bank,32.0,64.0,seeded_stratified_random,external/CVTGAD,64.0,True,recent_sota_tuning_stable,complete,
,,,,,,,,,,,,,,,,,,,,,ADFA-LD,CVTGAD-fair,,44,,,,,,,,,,,,,,,recent_sota_tuning_stable,failed,"OutOfMemoryError: CUDA out of memory. Tried to allocate 1.60 GiB. GPU 0 has a total capacity of 15.77 GiB of which 1.30 GiB is free. Including non-PyTorch memory, this process has 14.46 GiB memory in use. Of the allocated memory 11.79 GiB is allocated by PyTorch, and 2.29 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
,,,,,,,,,,,,,,,,,,,,,ADFA-LD,CVTGAD-fair,,55,,,,,,,,,,,,,,,recent_sota_tuning_stable,failed,"OutOfMemoryError: CUDA out of memory. Tried to allocate 1.74 GiB. GPU 0 has a total capacity of 15.77 GiB of which 1.17 GiB is free. Including non-PyTorch memory, this process has 14.59 GiB memory in use. Of the allocated memory 12.82 GiB is allocated by PyTorch, and 1.40 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
0.5,0.573228,0.5760130884867375,0.01,10.0,1.0,0.02,0.01,0.03,6.061481151580813,0.8,0.024,0.04660194174757282,0.07404210628107544,0.006,higher_is_more_anomalous,0.42677200000000004,2.7299606800079346,3.3764933347702026,2.1179983615875244,4.3186191558837885,ADFA-LD,CVTGAD-fair,recent_sota_stability_tuning,66,60.0,767.6586412992328,2444768.0,12811.826171875,cuda,fixed_epoch,normal_train_scores,fixed_normal_reference_bank,128.0,705.0,seeded_stratified_random,external/CVTGAD,705.0,True,recent_sota_tuning_stable,complete,
0.5,0.49096799999999996,0.4659830422630764,0.01,10.0,0.0,0.0,0.01,0.0,9.047854852676391,0.0,0.0,0.0,-0.0776930968865506,0.012,higher_is_more_anomalous,0.509032,7.603874206542969,7.8560028076171875,7.642701625823975,9.040853500366211,TraceLog,GLADMamba-fair,recent_sota_stability_tuning,44,60.0,220.97735088132322,79712.0,3469.404296875,cuda,fixed_epoch,normal_train_scores,fixed_normal_reference_bank,128.0,872.0,seeded_stratified_random,external/GLADMamba,872.0,True,recent_sota_tuning_stable,complete,
