rank,trial_index,trial_id,training.learning_rate,model.deviation_weight,ssl.loss_weight,selection_score_mean,selection_score_std,auc_mean,auc_std,ap_mean,ap_std,mean_svdd_loss_mean,mean_svdd_loss_std,epochs_completed_mean,training_seconds_mean
1,77,trial_0077_1543e551,0.001,0.0,0.01,0.8050235552082641,,0.8301005357096973,,0.7799465747068309,,0.001860124387058,,5.0,68.69447067193687
2,76,trial_0076_19e75279,0.001,0.0,0.001,0.8035375320640685,,0.8404132720288475,,0.7666617920992895,,0.0009990572373098,,4.0,53.59381519630551
3,51,trial_0051_4d94b8ba,0.0003,0.0,0.001,0.8013241323512394,,0.8333294651937896,,0.7693187995086893,,0.0010847088570371,,6.0,84.31672463193536
4,72,trial_0072_03b6e441,0.0003,2.0,0.01,0.7991342782528811,,0.8356153975162676,,0.7626531589894946,,0.0017096706033989,,4.0,45.44372164458037
5,52,trial_0052_452099d1,0.0003,0.0,0.01,0.7983538929886925,,0.8319649789697543,,0.7647428070076308,,0.0037658919231907,,5.0,74.98252636007965
6,86,trial_0086_e537638c,0.001,0.5,0.001,0.7972294630153143,,0.8366059175351331,,0.7578530084954953,,0.0007722895582046,,4.0,59.258769638836384
7,42,trial_0042_f3e1d4ed,0.0001,1.0,0.01,0.7971880769111923,,0.826744095768504,,0.7676320580538806,,0.0038759131943661,,5.0,58.92104059271514
8,82,trial_0082_991e66e7,0.001,0.25,0.01,0.7956586029898769,,0.830500611856787,,0.7608165941229669,,0.0017469278578428,,5.0,73.52278481796384
9,81,trial_0081_91f95d29,0.001,0.25,0.001,0.7944808614823415,,0.8324132687132992,,0.7565484542513837,,0.0007879376737109,,4.0,56.7962870169431
10,67,trial_0067_f5c71ef2,0.0003,1.0,0.01,0.7916577262812803,,0.8279515078974976,,0.7553639446650628,,0.0018582207804283,,4.0,46.9048759303987
11,62,trial_0062_dd125896,0.0003,0.5,0.01,0.7914029644419953,,0.8264108831763837,,0.756395045707607,,0.0022500233642495,,4.0,59.34171222709119
12,85,trial_0085_fa5cdf45,0.001,0.5,0.0,0.789160383483768,,0.8315969531217404,,0.7467238138457957,,0.000507039904056,,5.0,69.36310927011073
13,90,trial_0090_3d7cf88d,0.001,1.0,0.0,0.7891433690586718,,0.8356415074581874,,0.742645230659156,,0.0007472601129702,,4.0,58.729711374267936
14,75,trial_0075_77204a94,0.001,0.0,0.0,0.7885643182435826,,0.8361819418115768,,0.7409466946755885,,0.0007226936246006,,4.0,50.46173711679876
15,91,trial_0091_ab37c868,0.001,1.0,0.001,0.786715922628221,,0.8244331586868329,,0.748998686569609,,0.0008758530280611,,4.0,54.37328566610813
16,37,trial_0037_3977e51c,0.0001,0.5,0.01,0.7865253385624672,,0.8088231434104447,,0.7642275337144897,,0.0025321902365431,,7.0,97.1563013959676
17,97,trial_0097_f2a5300c,0.001,2.0,0.01,0.7860511685487306,,0.8159098513501603,,0.7561924857473009,,0.0024300061580433,,5.0,65.03815366886556
18,57,trial_0057_c74c1650,0.0003,0.25,0.01,0.7852745268842367,,0.8114753056590052,,0.7590737481094681,,0.0011077880120246,,7.0,104.39969112724066
19,26,trial_0026_ed6f8c23,0.0001,0.0,0.001,0.7839318550155355,,0.8176494089620925,,0.7502143010689786,,0.0011759835702032,,7.0,98.23595179244876
20,36,trial_0036_595b8045,0.0001,0.5,0.001,0.781178920762888,,0.813878939941884,,0.748478901583892,,0.0008977820096661,,7.0,98.69601087272169
21,66,trial_0066_f9cd56df,0.0003,1.0,0.001,0.7799945828137107,,0.8153710747708611,,0.7446180908565603,,0.0003664884592417,,8.0,99.81479525752366
22,41,trial_0041_4e732ed8,0.0001,1.0,0.001,0.7787105957417775,,0.8137146821591181,,0.7437065093244369,,0.0008531696836398,,7.0,80.80602589063346
23,31,trial_0031_928d3a77,0.0001,0.25,0.001,0.7779642060574077,,0.8152081984665037,,0.7407202136483115,,0.000802765628221,,6.0,95.02380696497858
24,87,trial_0087_262b00fe,0.001,0.5,0.01,0.7765743776180565,,0.8152070932837769,,0.737941661952336,,0.0008652096996738,,5.0,71.64829496666789
25,22,trial_0022_a55d18b5,3e-05,2.0,0.01,0.7759893110487691,,0.8012942242321812,,0.750684397865357,,0.0035171550961094,,8.0,109.64476002380252
26,56,trial_0056_dacc1db4,0.0003,0.25,0.001,0.775707475494414,,0.813522932956024,,0.737892018032804,,0.0007926226867421,,5.0,73.54376636818051
27,32,trial_0032_91c4f3c7,0.0001,0.25,0.01,0.7751320671556556,,0.8031781463377975,,0.7470859879735138,,0.0034372945249342,,6.0,64.2207902725786
28,38,trial_0038_b5db763e,0.0001,0.5,0.1,0.7749293523534884,,0.8099603764362886,,0.7398983282706882,,0.0114230290950217,,4.0,50.693939317017794
29,47,trial_0047_53cd98fd,0.0001,2.0,0.01,0.7747706071148062,,0.8048221056438642,,0.744719108585748,,0.0026074925045613,,5.0,68.71799839474261
30,71,trial_0071_501f993a,0.0003,2.0,0.001,0.7736661207444023,,0.8065094433719566,,0.740822798116848,,0.000634752038768,,7.0,87.03252214752138
31,17,trial_0017_ecdf0c05,3e-05,1.0,0.01,0.7728395825816003,,0.8073243774851069,,0.7383547876780937,,0.004182024363632,,8.0,98.51675810478628
32,80,trial_0080_d9672b94,0.001,0.25,0.0,0.7728181577613731,,0.8135501480806706,,0.7320861674420754,,0.0006639586173187,,4.0,56.474137825891376
33,12,trial_0012_3e999d5e,3e-05,0.5,0.01,0.7714634095871417,,0.7999551572108614,,0.7429716619634219,,0.0053728609438767,,8.0,119.44996736571191
