prevalence,auc,ap,alert_fraction,alert_budget,precision_at_budget,recall_at_budget,target_fpr,tpr_at_fpr,threshold,precision,recall,f1,mcc,observed_fpr,svdd_auc,svdd_ap,mean_svdd_loss,ssl_auc,ssl_ap,num_graphs,mean_inference_seconds,dataset,run_name,seed,epochs_completed,training_seconds,peak_process_memory_mb,peak_gpu_memory_mb,parameters,device,threshold_source,checkpoint_selection,evaluation_split,max_train_graphs_per_epoch,max_evaluation_graphs,evaluation_sampling,experimental_stage,search,trial_index,trial_id,training.learning_rate,model.deviation_weight,ssl.loss_weight
0.34575,0.7759573576296703,0.6755086485569279,0.01,40.0,0.95,0.0274765003615329,0.01,0.2111352133044107,0.0018683309934567,0.913312693498452,0.2133044107013738,0.3458382180539273,0.3536839296988263,0.0106992739778372,0.77599976901681,0.6755341438702851,0.0007760747764841,0.2373059402742676,0.2500039703454291,4000,0.0005316537721082,TraceLog,trial_0000_57ad1324,11,8,96.91935052536428,3735.60546875,2668.5869140625,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_screening_validation_only,tracelog_core_grid,0,trial_0000_57ad1324,3e-05,0.0,0.0
0.34575,0.801725798086984,0.7256874036471468,0.01,40.0,0.95,0.0274765003615329,0.01,0.25234996384671,0.001930550893303,0.928191489361702,0.25234996384671,0.39681637293917,0.3944565497088456,0.0103171570500573,0.8014108210098552,0.7241936669078906,0.0008850353939415,0.5716082425632946,0.5913915787436438,4000,0.0007599071948789,TraceLog,trial_0001_eb490045,11,8,105.2231623120606,3737.49609375,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_screening_validation_only,tracelog_core_grid,1,trial_0001_eb490045,3e-05,0.0,0.001
0.34575,0.7973248223211544,0.7395901378265349,0.01,40.0,1.0,0.0289226319595083,0.01,0.3246565437454808,0.0039697177708148,0.951271186440678,0.3246565437454808,0.4840970350404313,0.4656751833310772,0.0087886893389377,0.7978379034020564,0.738958303034259,0.0043041867128777,0.5139819429720187,0.5521028143379806,4000,0.0006905647357925,TraceLog,trial_0002_73f81776,11,8,105.15950547158718,3739.29296875,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_screening_validation_only,tracelog_core_grid,2,trial_0002_73f81776,3e-05,0.0,0.01
0.34575,0.7707361981327386,0.6937353754626063,0.01,40.0,1.0,0.0289226319595083,0.01,0.3246565437454808,0.0164560359157621,0.9472573839662448,0.3246565437454808,0.4835756596661281,0.4636988510621557,0.0095529231944975,0.771446001739005,0.6942810997180087,0.008204769590171,0.5380528227610172,0.5734932639104335,4000,0.0009005666049197,TraceLog,trial_0003_3725ba6b,11,5,64.92782236635685,3739.640625,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_screening_validation_only,tracelog_core_grid,3,trial_0003_3725ba6b,3e-05,0.0,0.1
0.34575,0.6623751039907871,0.5854745107269633,0.01,40.0,0.95,0.0274765003615329,0.01,0.1952277657266811,0.0180994551628828,0.9147058823529411,0.2248734634851771,0.3609982588508416,0.3646066183083921,0.0110813909056171,0.6624597886172258,0.5849943193958099,0.0071419864998315,0.5339840925524223,0.5263803001790461,4000,0.0013556136819534,TraceLog,trial_0004_6d391630,11,4,51.86745286546648,3739.6796875,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_screening_validation_only,tracelog_core_grid,4,trial_0004_6d391630,3e-05,0.0,0.5
0.34575,0.7819819849689623,0.6861589362848312,0.01,40.0,0.95,0.0274765003615329,0.01,0.2133044107013738,0.0018991188821382,0.91875,0.2125813449023861,0.3452730475631239,0.3552652601119251,0.0099350401222774,0.7819899975437314,0.6861681985251707,0.0007803849590782,0.2167031238818659,0.2406357507369198,4000,0.0009624582775868,TraceLog,trial_0005_79cb8c57,11,8,112.7579969856888,3739.7265625,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_screening_validation_only,tracelog_core_grid,5,trial_0005_79cb8c57,3e-05,0.25,0.0
0.34575,0.7932531910079018,0.7045382066579468,0.01,40.0,0.95,0.0274765003615329,0.01,0.2357194504699927,0.0018362956005148,0.9232876712328768,0.2436731742588575,0.3855835240274599,0.3847880551703115,0.0106992739778372,0.7919943878821135,0.7021061886015341,0.0008734132470344,0.57861330512907,0.5902110826017004,4000,0.0008958768481388,TraceLog,trial_0006_f9904edc,11,8,114.59600322879852,3740.1328125,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_screening_validation_only,tracelog_core_grid,6,trial_0006_f9904edc,3e-05,0.25,0.001
0.34575,0.7996668426670159,0.7291687439104204,0.01,40.0,0.95,0.0274765003615329,0.01,0.3246565437454808,0.0045211479580029,0.9532908704883228,0.3246565437454808,0.4843581445523193,0.4666670776674781,0.0084065724111578,0.7995871313628478,0.7288931461790935,0.0025297028831118,0.5332264897932231,0.5644439491908182,4000,0.0004783629341982,TraceLog,trial_0007_1b0235cd,11,8,115.35698750428855,3740.21484375,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_screening_validation_only,tracelog_core_grid,7,trial_0007_1b0235cd,3e-05,0.25,0.01
0.34575,0.7699255466026546,0.6903957707514532,0.01,40.0,1.0,0.0289226319595083,0.01,0.3246565437454808,0.0137662142515182,0.9532908704883228,0.3246565437454808,0.4843581445523193,0.4666670776674781,0.0084065724111578,0.7701273805981305,0.6900454363985176,0.016111308824431,0.5742699370128734,0.59002369665119,4000,0.0009378381865099,TraceLog,trial_0008_50864d3e,11,6,86.83209811151028,3740.12890625,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_screening_validation_only,tracelog_core_grid,8,trial_0008_50864d3e,3e-05,0.25,0.1
0.34575,0.631000624151945,0.6196390859517286,0.01,40.0,1.0,0.0289226319595083,0.01,0.339117859725235,0.0315986312925815,0.9531914893617022,0.3239334779464931,0.4835402050728548,0.4660291343153106,0.0084065724111578,0.628433008381982,0.6181721977965059,0.0368294231555773,0.7446145136463819,0.681142425891224,4000,0.0009622744796797,TraceLog,trial_0009_13cb7880,11,7,102.73533477447928,3755.75390625,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_screening_validation_only,tracelog_core_grid,9,trial_0009_13cb7880,3e-05,0.25,0.5
