rank,trial_index,trial_id,training.learning_rate,model.deviation_weight,ssl.loss_weight,selection_score_mean,selection_score_std,auc_mean,auc_std,ap_mean,ap_std,mean_svdd_loss_mean,mean_svdd_loss_std,epochs_completed_mean,training_seconds_mean
1,20,trial_0020_f9086478,0.003,1.0,0.001,0.8315401710691432,,0.8585203095285263,,0.8045600326097603,,0.0007896946032487,,5.0,73.84587231650949
2,4,trial_0004_ab37c868,0.001,1.0,0.001,0.8083697027583638,,0.8453520573390902,,0.7713873481776373,,0.0008205890422323,,4.0,43.7787375934422
3,10,trial_0010_dcfe137d,0.002,0.5,0.001,0.8073076517945205,,0.8432783201001517,,0.7713369834888892,,0.0008504638351369,,4.0,58.39570692367852
4,0,trial_0000_19e75279,0.001,0.0,0.001,0.8057069482420882,,0.84212022675034,,0.7692936697338365,,0.0010182340582978,,4.0,41.40800185315311
5,7,trial_0007_f2a5300c,0.001,2.0,0.01,0.8002225346198022,,0.8392173261706439,,0.7612277430689606,,0.0008406619167508,,5.0,68.06320494785905
6,5,trial_0005_fa787fef,0.001,1.0,0.01,0.799915048051214,,0.8304790607936152,,0.7693510353088128,,0.0009137993425683,,5.0,58.9884172976017
7,13,trial_0013_c80fc4e0,0.002,1.0,0.01,0.796905377710633,,0.8371068416060405,,0.7567039138152255,,0.0008101794665708,,5.0,73.08268041536212
8,18,trial_0018_61fa6e01,0.003,0.5,0.001,0.7967725469686563,,0.8355297458549431,,0.7580153480823695,,0.0006058820333273,,5.0,70.60723480023444
9,25,trial_0025_50265c28,0.005,0.0,0.01,0.7963241686952096,,0.8320130544183686,,0.7606352829720507,,0.0016791475073405,,7.0,88.75063038058579
10,1,trial_0001_1543e551,0.001,0.0,0.01,0.7934828108751716,,0.81259471761338,,0.7743709041369632,,0.0019379227013414,,5.0,53.25414933264256
11,30,trial_0030_2153569c,0.005,2.0,0.001,0.7934802413466293,,0.81746774455138,,0.7694927381418786,,0.0003795879745248,,8.0,95.15910349600016
12,6,trial_0006_b57cac5c,0.001,2.0,0.001,0.7925140883775539,,0.8256390511895773,,0.7593891255655304,,0.0006991792700282,,5.0,63.85598529689014
13,2,trial_0002_e537638c,0.001,0.5,0.001,0.7917634035521284,,0.8324928418696267,,0.7510339652346301,,0.0008186018713022,,4.0,41.88242246024311
14,22,trial_0022_d5fc9d60,0.003,2.0,0.001,0.7915878750242388,,0.8295339914143879,,0.7536417586340897,,0.0007892912294919,,5.0,69.85681707039475
15,14,trial_0014_8fdb0371,0.002,2.0,0.001,0.7897756427249651,,0.8332656408913187,,0.7462856445586115,,0.0008497293682594,,4.0,59.29320735856891
16,26,trial_0026_ddd319ed,0.005,0.5,0.001,0.7802055831927377,,0.811470194188894,,0.7489409721965814,,0.0005336222322639,,7.0,83.78372833132744
17,3,trial_0003_262b00fe,0.001,0.5,0.01,0.7801831551109563,,0.8216461641456068,,0.7387201460763058,,0.0010377422654783,,5.0,54.05434820242226
18,31,trial_0031_99cba94c,0.005,2.0,0.01,0.7788244121510073,,0.80939065474064,,0.7482581695613747,,0.0014878250861438,,4.0,46.64931368641555
19,8,trial_0008_7fc81110,0.002,0.0,0.001,0.7779849970864824,,0.8280093918428121,,0.7279606023301527,,0.0006992905667284,,4.0,55.54152412898839
20,16,trial_0016_9acb1530,0.003,0.0,0.001,0.7748041686427622,,0.7968726644380657,,0.7527356728474587,,0.000795280560691,,6.0,87.84395117685199
21,12,trial_0012_5fe5dda4,0.002,1.0,0.001,0.7721495073967904,,0.8099189320840348,,0.7343800827095461,,0.0008049210229,,4.0,54.0827600415796
22,21,trial_0021_7533e98b,0.003,1.0,0.01,0.763870432752516,,0.8051513119486001,,0.7225895535564318,,0.0019436031470104,,7.0,101.52636720240116
23,15,trial_0015_a34b372d,0.002,2.0,0.01,0.7618498173433734,,0.7903826170229638,,0.7333170176637831,,0.0012207400781408,,4.0,61.109541442245245
24,28,trial_0028_9b60ba52,0.005,1.0,0.001,0.7611923062533443,,0.8012124407104003,,0.7211721717962883,,0.0008170521786159,,4.0,46.48243450187147
25,17,trial_0017_12dcead7,0.003,0.0,0.01,0.7578923567178759,,0.7926358083071612,,0.7231489051285908,,0.0023802155452358,,4.0,55.36788188293576
26,23,trial_0023_acf39e13,0.003,2.0,0.01,0.7552997540361626,,0.7803163364518827,,0.7302831716204423,,0.0014597767470258,,4.0,55.902391189709306
27,11,trial_0011_bd973e28,0.002,0.5,0.01,0.7510770697104516,,0.7868898251628555,,0.7152643142580477,,0.0011642351859882,,4.0,56.00258869864047
28,19,trial_0019_6cfbc54f,0.003,0.5,0.01,0.7444618981101865,,0.7717471640320492,,0.7171766321883238,,0.0015490820218328,,4.0,61.27790596149862
29,29,trial_0029_d52d08ed,0.005,1.0,0.01,0.7419058301467567,,0.7814213810308095,,0.7023902792627039,,0.0014688138750279,,8.0,96.51217231154442
30,9,trial_0009_a1c49ec2,0.002,0.0,0.01,0.7212914893477471,,0.773325641261555,,0.6692573374339391,,0.0008703348619965,,4.0,61.64523475244641
31,27,trial_0027_ffbbb5cb,0.005,0.5,0.01,0.7209979918139933,,0.7532792843720807,,0.6887166992559057,,0.002383703240077,,4.0,46.0523406919092
32,24,trial_0024_f3d26452,0.005,0.0,0.001,0.6926134687412898,,0.7127765478015013,,0.6724503896810783,,0.0008479782469003,,4.0,56.83392522856593
