prevalence,auc,ap,alert_fraction,alert_budget,precision_at_budget,recall_at_budget,target_fpr,tpr_at_fpr,threshold,precision,recall,f1,mcc,observed_fpr,svdd_auc,svdd_ap,mean_svdd_loss,ssl_auc,ssl_ap,num_graphs,mean_inference_seconds,dataset,run_name,seed,epochs_completed,training_seconds,peak_process_memory_mb,peak_gpu_memory_mb,parameters,device,threshold_source,checkpoint_selection,evaluation_split,max_train_graphs_per_epoch,max_evaluation_graphs,evaluation_sampling,experimental_stage,search,trial_index,trial_id,training.learning_rate,model.deviation_weight,ssl.loss_weight
0.34575,0.84212022675034,0.7692936697338365,0.01,40.0,0.95,0.0274765003615329,0.01,0.3608098336948662,0.0022630175692029,0.9552845528455284,0.3398409255242227,0.5013333333333333,0.4799523567936841,0.0084065724111578,0.8427769815857218,0.7674354562448386,0.0010182340582978,0.5668230776520724,0.6001298398026214,4000,0.0003440643446519,TraceLog,trial_0000_19e75279,11,4,41.40800185315311,3722.1328125,2668.5869140625,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_learning_rate_boundary,tracelog_lr_boundary,0,trial_0000_19e75279,0.001,0.0,0.001
0.34575,0.81259471761338,0.7743709041369632,0.01,40.0,1.0,0.0289226319595083,0.01,0.3398409255242227,0.0017601306387223,0.9552845528455284,0.3398409255242227,0.5013333333333333,0.4799523567936841,0.0084065724111578,0.8102232717774185,0.7724251597927985,0.0019379227013414,0.649128107532069,0.6174078205357503,4000,0.000344000978861,TraceLog,trial_0001_1543e551,11,5,53.25414933264256,3722.9921875,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_learning_rate_boundary,tracelog_lr_boundary,1,trial_0001_1543e551,0.001,0.0,0.01
0.34575,0.8324928418696267,0.7510339652346301,0.01,40.0,0.95,0.0274765003615329,0.01,0.2776572668112798,0.0013965116115286,0.9365853658536586,0.2776572668112798,0.4283324037925265,0.4198152661152965,0.0099350401222774,0.8356075230893394,0.7523887007458454,0.0008186018713022,0.5409470200267399,0.5488779903049203,4000,0.0003438256401568,TraceLog,trial_0002_e537638c,11,4,41.88242246024311,3710.40625,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_learning_rate_boundary,tracelog_lr_boundary,2,trial_0002_e537638c,0.001,0.5,0.001
0.34575,0.8216461641456068,0.7387201460763058,0.01,40.0,0.95,0.0274765003615329,0.01,0.2993492407809111,0.0016183013061527,0.9450800915331808,0.2986261749819233,0.4538461538461538,0.4413121971765188,0.0091708062667176,0.814125533837794,0.729013655050935,0.0010377422654783,0.5655670374831011,0.5436847458193433,4000,0.0003560575046576,TraceLog,trial_0003_262b00fe,11,5,54.05434820242226,3725.8359375,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_learning_rate_boundary,tracelog_lr_boundary,3,trial_0003_262b00fe,0.001,0.5,0.01
0.34575,0.8453520573390902,0.7713873481776373,0.01,40.0,0.95,0.0274765003615329,0.01,0.3333333333333333,0.0012141617527231,0.9408163265306122,0.3333333333333333,0.4922584089695675,0.4674733925701475,0.0110813909056171,0.8437571405165237,0.7659152557085007,0.0008205890422323,0.5511850183639925,0.5773286102734225,4000,0.0004372091726399,TraceLog,trial_0004_ab37c868,11,4,43.7787375934422,3725.83984375,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_learning_rate_boundary,tracelog_lr_boundary,4,trial_0004_ab37c868,0.001,1.0,0.001
0.34575,0.8304790607936152,0.7693510353088128,0.01,40.0,0.95,0.0274765003615329,0.01,0.2964569775849602,0.001381701149512,0.9234135667396062,0.3051337671728127,0.458695652173913,0.4362089190700355,0.0133740924722965,0.8301046801449228,0.7693698452328014,0.0009137993425683,0.5229688744625703,0.4772020102503552,4000,0.001161004982423,TraceLog,trial_0005_fa787fef,11,5,58.9884172976017,3725.8671875,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_learning_rate_boundary,tracelog_lr_boundary,5,trial_0005_fa787fef,0.001,1.0,0.01
0.34575,0.8256390511895773,0.7593891255655304,0.01,40.0,0.95,0.0274765003615329,0.01,0.3007953723788865,0.0009379236702807,0.939922480620155,0.3506869125090383,0.5107951553449184,0.4807788463065773,0.0118456247611769,0.8272935097315482,0.7617527131171878,0.0006991792700282,0.491865302539627,0.5259737759463011,4000,0.00089132599812,TraceLog,trial_0006_b57cac5c,11,5,63.85598529689014,3725.87109375,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_learning_rate_boundary,tracelog_lr_boundary,6,trial_0006_b57cac5c,0.001,2.0,0.001
0.34575,0.8392173261706439,0.7612277430689606,0.01,40.0,0.95,0.0274765003615329,0.01,0.2682574114244396,0.001608509478392,0.9345088161209067,0.2682574114244396,0.4168539325842696,0.410910828017696,0.0099350401222774,0.8365865768374146,0.7574467458138252,0.0008406619167508,0.4546106980030177,0.3373791511930817,4000,0.0007265541953966,TraceLog,trial_0007_f2a5300c,11,5,68.06320494785905,3726.453125,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_learning_rate_boundary,tracelog_lr_boundary,7,trial_0007_f2a5300c,0.001,2.0,0.01
0.34575,0.8280093918428121,0.7279606023301527,0.01,40.0,0.95,0.0274765003615329,0.01,0.257411424439624,0.0011572939110919,0.9240506329113924,0.2639190166305133,0.4105736782902137,0.402482146838266,0.011463507833397,0.828111621245038,0.7248898893750919,0.0006992905667284,0.643404780633662,0.5511483436112103,4000,0.0006657899743877,TraceLog,trial_0008_7fc81110,11,4,55.54152412898839,3726.46875,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_learning_rate_boundary,tracelog_lr_boundary,8,trial_0008_7fc81110,0.002,0.0,0.001
0.34575,0.773325641261555,0.6692573374339391,0.01,40.0,0.95,0.0274765003615329,0.01,0.2950108459869848,0.001333766268799,0.9422632794457276,0.2950108459869848,0.4493392070484581,0.4369779769758266,0.0095529231944975,0.7781627497609351,0.6803565649109481,0.0008703348619965,0.6522233099062225,0.5457130508722987,4000,0.0004926473316736,TraceLog,trial_0009_a1c49ec2,11,4,61.64523475244641,3726.7578125,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_learning_rate_boundary,tracelog_lr_boundary,9,trial_0009_a1c49ec2,0.002,0.0,0.01
