rank,trial_index,trial_id,training.learning_rate,model.deviation_weight,ssl.loss_weight,model.attention_temperature,model.prototype_momentum,selection_score_mean,selection_score_std,auc_mean,auc_std,ap_mean,ap_std,mean_svdd_loss_mean,mean_svdd_loss_std,epochs_completed_mean,training_seconds_mean
1,5,trial_0005_224bf628,0.0003,2.0,0.01,0.5,0.7,0.8062996407422451,,0.8454906196234586,,0.7671086618610318,,0.0020387959071376,,4.0,52.851345332339406
2,2,trial_0002_e24b8403,0.0003,2.0,0.01,0.25,0.9,0.8004695560535475,,0.8329078379835279,,0.7680312741235671,,0.0015212437692243,,7.0,88.45656930282712
3,14,trial_0014_a9e58114,0.0003,2.0,0.01,2.0,0.9,0.7985882714461958,,0.8321057516195762,,0.7650707912728154,,0.0006750023722051,,6.0,85.6964517608285
4,12,trial_0012_b9e4670e,0.0003,2.0,0.01,2.0,0.5,0.7956902120170068,,0.8296829147868199,,0.7616975092471939,,0.0018024578663025,,4.0,58.69385272450745
5,8,trial_0008_79c76b16,0.0003,2.0,0.01,1.0,0.5,0.7952733709082924,,0.8310480917500596,,0.7594986500665253,,0.0016870858879119,,5.0,67.80129664391279
6,1,trial_0001_d0e4dc06,0.0003,2.0,0.01,0.25,0.7,0.7945880683078757,,0.8339077520555709,,0.7552683845601805,,0.0014930728627368,,4.0,48.8286299649626
7,0,trial_0000_c801e6f2,0.0003,2.0,0.01,0.25,0.5,0.7924956101654966,,0.8283732732556002,,0.7566179470753931,,0.0010530972954293,,5.0,53.98743654787541
8,4,trial_0004_71f635bf,0.0003,2.0,0.01,0.5,0.5,0.7920654363401249,,0.8219607267792131,,0.7621701459010369,,0.0021722063102788,,4.0,54.02436268143356
9,11,trial_0011_4ad1b488,0.0003,2.0,0.01,1.0,0.99,0.7915467373912133,,0.821349008139947,,0.7617444666424794,,0.003193209954501,,7.0,103.35016910731792
10,3,trial_0003_1342faee,0.0003,2.0,0.01,0.25,0.99,0.7907449489794718,,0.8210631802572368,,0.7604267177017068,,0.0028580414559655,,7.0,93.50983118265869
11,6,trial_0006_f641ae1a,0.0003,2.0,0.01,0.5,0.9,0.7882875992972667,,0.826620315303106,,0.7499548832914273,,0.0017072455040542,,4.0,53.39195297844708
12,9,trial_0009_bc90c695,0.0003,2.0,0.01,1.0,0.7,0.7856971128215507,,0.8162680687014738,,0.7551261569416277,,0.0007228604385782,,6.0,89.03253166563809
13,15,trial_0015_fad82fac,0.0003,2.0,0.01,2.0,0.99,0.7846347923849251,,0.8174095843103839,,0.7518600004594661,,0.0046303907749315,,5.0,69.48365822806954
14,10,trial_0010_f83b4384,0.0003,2.0,0.01,1.0,0.9,0.7843172239098651,,0.8187287580426219,,0.7499056897771084,,0.0009372433195167,,6.0,92.43096945434807
15,13,trial_0013_d58f5e54,0.0003,2.0,0.01,2.0,0.7,0.7790080185015569,,0.8145812835647448,,0.743434753438369,,0.0014729795551756,,5.0,76.17390770092607
16,7,trial_0007_45b94d99,0.0003,2.0,0.01,0.5,0.99,0.7718006181501965,,0.8094935748820701,,0.734107661418323,,0.0047601260524097,,4.0,55.42842631228268
