prevalence,auc,ap,alert_fraction,alert_budget,precision_at_budget,recall_at_budget,target_fpr,tpr_at_fpr,threshold,precision,recall,f1,mcc,observed_fpr,svdd_auc,svdd_ap,mean_svdd_loss,ssl_auc,ssl_ap,num_graphs,mean_inference_seconds,dataset,run_name,seed,epochs_completed,training_seconds,peak_process_memory_mb,peak_gpu_memory_mb,parameters,device,threshold_source,checkpoint_selection,evaluation_split,max_train_graphs_per_epoch,max_evaluation_graphs,evaluation_sampling,experimental_stage,search,trial_index,trial_id,training.learning_rate,model.deviation_weight,ssl.loss_weight,model.hidden_dim,model.output_dim,model.num_layers,model.dropout,augmentation.edge_perturbation_rate,augmentation.edge_addition_rate,augmentation.node_type_swap_rate,augmentation.edge_type_swap_rate
0.34575,0.8288310952001637,0.778972340272643,0.01,40.0,1.0,0.0289226319595083,0.01,0.3521330441070137,0.0020429545571096,0.9582504970178928,0.3485177151120752,0.5111346765641569,0.4884157517217909,0.0080244554833779,0.8305681661509609,0.7784769800018325,0.0019708403073746,0.6487928227223358,0.621778341125938,4000,0.0003428650372661,TraceLog,trial_0000_e2f9332f,11,5,52.55607242695987,3876.46875,2668.5869140625,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_secondary_sensitivity,tracelog_secondary_sensitivity,0,trial_0000_e2f9332f,0.001,0.0,0.01,128,128,2,0.1,0.13,0.13,0.1,0.18
0.34575,0.7168188917724948,0.6704224951304241,0.01,40.0,1.0,0.0289226319595083,0.01,0.3253796095444685,0.0004075990873388,0.9453781512605042,0.3253796095444685,0.4841312533620226,0.4633557751161392,0.0099350401222774,0.6967573386205275,0.6607062094106173,0.0013418881090947,0.7653752330208705,0.6771943701413841,4000,0.0003446347946301,TraceLog,trial_0001_56941591,11,7,73.87483075633645,3876.86328125,2668.5869140625,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_secondary_sensitivity,tracelog_secondary_sensitivity,1,trial_0001_56941591,0.001,0.0,0.01,128,128,2,0.0,0.13,0.13,0.1,0.18
0.34575,0.7539882590913023,0.71861097595366,0.01,40.0,1.0,0.0289226319595083,0.01,0.3383947939262473,0.0032779530156403,0.949290060851927,0.3383947939262473,0.4989339019189765,0.4757827793426545,0.0095529231944975,0.7479936098334738,0.712379840964382,0.0027505126525793,0.6369355935425278,0.6199577060541389,4000,0.0003444053735584,TraceLog,trial_0002_91f040d7,11,4,42.02642390318215,3876.890625,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_secondary_sensitivity,tracelog_secondary_sensitivity,2,trial_0002_91f040d7,0.001,0.0,0.01,128,128,2,0.3,0.13,0.13,0.1,0.18
0.34575,0.8194768286008027,0.7612512720281821,0.01,40.0,1.0,0.0289226319595083,0.01,0.3398409255242227,0.0011517001723404,0.951417004048583,0.3398409255242227,0.500799147575919,0.4780116409410585,0.0091708062667176,0.8224733934165922,0.7622425802080227,0.0028862997748146,0.7110241424403706,0.6634301440143656,4000,0.0002714471006765,TraceLog,trial_0003_c3ddb9db,11,7,71.07925656624138,3872.09765625,2668.736328125,2145153,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_secondary_sensitivity,tracelog_secondary_sensitivity,3,trial_0003_c3ddb9db,0.001,0.0,0.01,64,64,2,0.1,0.13,0.13,0.1,0.18
0.34575,0.7639575598781093,0.7157180511820223,0.01,40.0,1.0,0.0289226319595083,0.01,0.3528561099060014,0.0029892360907979,0.9572301425661914,0.3398409255242227,0.5016008537886874,0.4809262252061789,0.0080244554833779,0.7539231914582638,0.711078390358354,0.0022681251769536,0.7491472824523783,0.6847062603749664,4000,0.0021751346946693,TraceLog,trial_0004_97d3d06b,11,4,69.81762737594545,3873.22265625,10255.2861328125,34262529,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_secondary_sensitivity,tracelog_secondary_sensitivity,4,trial_0004_97d3d06b,0.001,0.0,0.01,256,256,2,0.1,0.13,0.13,0.1,0.18
0.34575,0.7994449772346173,0.7366343748286703,0.01,40.0,1.0,0.0289226319595083,0.01,0.3434562545191612,0.0014319109544157,0.9481037924151696,0.3434562545191612,0.5042462845010616,0.4792317472309366,0.0099350401222774,0.797660659722251,0.7341773140915159,0.0025937384877761,0.56259796408764,0.5728940168979331,4000,0.0002574403551407,TraceLog,trial_0005_2317cb8c,11,5,46.93904015049338,3880.234375,10255.2861328125,4326529,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_secondary_sensitivity,tracelog_secondary_sensitivity,5,trial_0005_2317cb8c,0.001,0.0,0.01,128,128,1,0.1,0.13,0.13,0.1,0.18
0.34575,0.7871538256867122,0.7060413789539308,0.01,40.0,1.0,0.0289226319595083,0.01,0.3398409255242227,0.0028291947697289,0.955193482688391,0.339117859725235,0.5005336179295624,0.4793244018943885,0.0084065724111578,0.7854055647608067,0.704855204152266,0.0029021667891647,0.7647990183767021,0.6958110829302864,4000,0.0006168126347474,TraceLog,trial_0006_117adee0,11,4,62.57319704070687,3896.16015625,10255.2861328125,12814721,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_secondary_sensitivity,tracelog_secondary_sensitivity,6,trial_0006_117adee0,0.001,0.0,0.01,128,128,3,0.1,0.13,0.13,0.1,0.18
0.34575,0.8152470180097815,0.7522163032559589,0.01,40.0,1.0,0.0289226319595083,0.01,0.3485177151120752,0.0008746731263818,0.9519038076152304,0.3434562545191612,0.5047821466524973,0.4811539937598298,0.0091708062667176,0.8135957368681497,0.7468817528853106,0.0013931293941896,0.5319040005128047,0.5248998377289785,4000,0.0007439188528805,TraceLog,trial_0007_ebf40daf,11,6,71.74963299930096,3896.265625,10255.2861328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_secondary_sensitivity,tracelog_secondary_sensitivity,7,trial_0007_ebf40daf,0.001,0.0,0.01,128,128,2,0.1,0.0,0.0,0.0,0.0
0.34575,0.8414796352123374,0.7770032246984591,0.01,40.0,1.0,0.0289226319595083,0.01,0.3629790310918293,0.0023984741442836,0.9598393574297188,0.3456254519161243,0.5082402977139819,0.4868948840403811,0.007642338555598,0.8369689700608762,0.7731828949638258,0.0027398979014542,0.7217111212603725,0.6588978336690249,4000,0.001143609273713,TraceLog,trial_0008_ab206bca,11,4,53.16124119237065,3896.296875,10255.2861328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_secondary_sensitivity,tracelog_secondary_sensitivity,8,trial_0008_ab206bca,0.001,0.0,0.01,128,128,2,0.1,0.065,0.065,0.05,0.09
0.34575,0.853722711311628,0.7903805148913101,0.01,40.0,1.0,0.0289226319595083,0.01,0.3731019522776572,0.0021224756422452,0.9552238805970148,0.3702096890817064,0.5336112558624283,0.504075502239535,0.0091708062667176,0.8521271037498575,0.78831473028833,0.0025308398505003,0.5906690527561738,0.5836422645305663,4000,0.0008625766942277,TraceLog,trial_0009_a23d1ce7,11,4,54.93852496147156,3896.296875,10255.2861328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_secondary_sensitivity,tracelog_secondary_sensitivity,9,trial_0009_a23d1ce7,0.001,0.0,0.01,128,128,2,0.1,0.195,0.195,0.15,0.27
