method,dataset,selected_seed,auc_best,ap_best,precision_at_budget_best,recall_at_budget_best,tpr_at_fpr_best,f1_best,mcc_best,selection_metric
CVTGAD-fair,ADFA-LD,33,0.669632,0.6032882886190574,0.3,0.006,0.006,0.0379506641366223,-0.0431876663764671,auc
CVTGAD-fair,FlowGraph,22,0.849609375,0.9055151958632492,1.0,0.03125,0.78125,0.0,0.0,auc
CVTGAD-fair,HDFS,11,0.6888402555910544,0.5952082232765923,0.6666666666666666,0.0191693290734824,0.0191693290734824,0.5765550239234449,0.2092219219341455,auc
CVTGAD-fair,TraceLog,33,0.630756,0.6886275178645218,1.0,0.02,0.144,0.2662116040955631,0.249675378270013,auc
DeepTraLog,FlowGraph,22,1.0,1.0,1.0,0.03,1.0,0.9950248756218906,0.9910490491503344,auc
DeepTraLog,TraceLog,33,0.6660193058844626,0.5835169244993317,1.0,0.0289226319595083,0.1344902386117136,0.2333125389893948,0.2557751731452202,auc
DeepTraLog-adapted,ADFA-LD,33,0.7630362850113689,0.4406505139017268,0.7666666666666667,0.0308310991957104,0.0402144772117962,0.181110029211295,0.0572048135658215,auc
DeepTraLog-adapted,HDFS,11,0.751476013215029,0.642924271329492,1.0,0.060702875399361,0.4952076677316294,0.6444906444906445,0.6348305239124364,auc
GLADMamba-fair,ADFA-LD,33,0.71456,0.6450055980933367,0.7,0.014,0.016,0.0570342205323193,0.0251358652150151,auc
GLADMamba-fair,FlowGraph,33,0.97265625,0.9854166666666666,1.0,0.03125,0.96875,0.96875,0.9375,auc
GLADMamba-fair,HDFS,33,0.7591533546325878,0.7658350655705684,1.0,0.0287539936102236,0.4313099041533546,0.6369426751592356,0.569649447401402,auc
GLADMamba-fair,TraceLog,22,0.6745800000000001,0.7325229821259394,1.0,0.02,0.2,0.3322368421052631,0.3028541636022648,auc
GLocalKD,FlowGraph,33,0.96544,0.9765735526741092,1.0,0.03,0.95,0.9743589743589745,0.9557518184453214,auc
GLocalKD,TraceLog,33,0.6863165392529131,0.6316316866199522,1.0,0.0289226319595083,0.2812725958062184,0.421680216802168,0.3770353373827007,auc
GLocalKD-adapted,ADFA-LD,33,0.7338688313886321,0.4291166297367305,0.8333333333333334,0.0335120643431635,0.0402144772117962,0.2244897959183673,0.1458173454174894,auc
GLocalKD-adapted,HDFS,22,0.7603886206708845,0.6489137137995264,1.0,0.060702875399361,0.4984025559105431,0.6459627329192547,0.6347582120948749,auc
HGT,FlowGraph,11,0.806,0.6073861718821056,0.0,0.0,0.0,0.0,0.0,auc
HGT,TraceLog,33,0.7243386931932625,0.6288917402412012,1.0,0.0289226319595083,0.1663051337671728,0.176853055916775,0.2244431449364902,auc
HRA-GNN,FlowGraph,22,0.9896,0.9895357581009294,1.0,0.03,0.95,0.964467005076142,0.9371541458272684,auc
HRA-GNN,TraceLog,22,0.8242205491597709,0.7711606140596015,1.0,0.0289226319595083,0.3709327548806941,0.5346534653465347,0.5056185369778385,auc
HRGCN,FlowGraph,11,1.0,1.0,1.0,0.03,1.0,1.0,1.0,auc
HRGCN,TraceLog,33,0.7884239569354499,0.7319019794969213,1.0,0.0289226319595083,0.3355025307302964,0.4894651539708265,0.4761992761751095,auc
MUSE-fair,ADFA-LD,11,0.683468,0.616651812461495,0.5,0.01,0.01,0.0158102766798418,0.0258976989621835,auc
MUSE-fair,HDFS,11,0.7445591054313099,0.7519935526287809,1.0,0.0287539936102236,0.463258785942492,0.6290672451193059,0.5766038654811234,auc
MUSE-fair,TraceLog,11,0.550772,0.595018609558084,1.0,0.02,0.022,0.0424710424710424,0.0300862454937682,auc
OCHetGCN,ADFA-LD,22,0.7965308727976472,0.5094655082459689,0.1333333333333333,0.0053619302949061,0.002680965147453,0.5067513899920572,0.3884611847261492,auc
OCHetGCN,FlowGraph,33,1.0,1.0,1.0,0.03,1.0,0.9950248756218906,0.9910490491503344,auc
OCHetGCN,HDFS,22,0.7448255792043348,0.6359881634584044,1.0,0.060702875399361,0.4984025559105431,0.6431535269709544,0.6322865200450053,auc
OCHetGCN,TraceLog,33,0.7481023321842197,0.6578015399421652,1.0,0.0289226319595083,0.2516268980477223,0.3703703703703703,0.375816926240771,auc
SIGNET-fair,ADFA-LD,33,0.636716,0.5904011050649238,0.6,0.012,0.012,0.0535372848948374,0.0333548356025757,auc
SIGNET-fair,FlowGraph,33,0.677734375,0.5591828208971247,0.0,0.0,0.0,0.0,-0.1796053020267749,auc
SIGNET-fair,HDFS,33,0.6959137380191693,0.7084693412759708,0.8888888888888888,0.0255591054313099,0.4217252396166134,0.5874439461883408,0.5452971510680681,auc
SIGNET-fair,TraceLog,11,0.4923800000000001,0.5455444433987506,0.8,0.016,0.02,0.0386847195357833,0.0232070551920654,auc
