method,dataset,selected_seed,auc_best,ap_best,precision_at_budget_best,recall_at_budget_best,tpr_at_fpr_best,f1_best,mcc_best,selection_metric
CVTGAD,ADFA-LD,33,0.669632,0.6032882886190574,0.3,0.006,0.006,0.0379506641366223,-0.0431876663764671,auc
CVTGAD,FlowGraph,22,0.849609375,0.9055151958632492,1.0,0.03125,0.78125,0.0,0.0,auc
CVTGAD,HDFS,11,0.6888402555910544,0.5952082232765923,0.6666666666666666,0.0191693290734824,0.0191693290734824,0.5765550239234449,0.2092219219341455,auc
CVTGAD,TraceLog,33,0.630756,0.6886275178645218,1.0,0.02,0.144,0.2662116040955631,0.249675378270013,auc
GLADMamba,ADFA-LD,33,0.71456,0.6450055980933367,0.7,0.014,0.016,0.0570342205323193,0.0251358652150151,auc
GLADMamba,FlowGraph,33,0.97265625,0.9854166666666666,1.0,0.03125,0.96875,0.96875,0.9375,auc
GLADMamba,HDFS,33,0.7591533546325878,0.7658350655705684,1.0,0.0287539936102236,0.4313099041533546,0.6369426751592356,0.569649447401402,auc
GLADMamba,TraceLog,22,0.6745800000000001,0.7325229821259394,1.0,0.02,0.2,0.3322368421052631,0.3028541636022648,auc
MUSE,ADFA-LD,11,0.683468,0.616651812461495,0.5,0.01,0.01,0.0158102766798418,0.0258976989621835,auc
MUSE,HDFS,11,0.7445591054313099,0.7519935526287809,1.0,0.0287539936102236,0.463258785942492,0.6290672451193059,0.5766038654811234,auc
MUSE,TraceLog,11,0.550772,0.595018609558084,1.0,0.02,0.022,0.0424710424710424,0.0300862454937682,auc
SIGNET,ADFA-LD,33,0.636716,0.5904011050649238,0.6,0.012,0.012,0.0535372848948374,0.0333548356025757,auc
SIGNET,FlowGraph,33,0.677734375,0.5591828208971247,0.0,0.0,0.0,0.0,-0.1796053020267749,auc
SIGNET,HDFS,33,0.6959137380191693,0.7084693412759708,0.8888888888888888,0.0255591054313099,0.4217252396166134,0.5874439461883408,0.5452971510680681,auc
SIGNET,TraceLog,11,0.4923800000000001,0.5455444433987506,0.8,0.016,0.02,0.0386847195357833,0.0232070551920654,auc
