dataset,graph_id,method,changed,node_count,edge_count,edge_count_delta,edge_jaccard,node_type_change_rate,edge_type_change_rate,schema_valid,duplicate_edge_fraction,self_loop_fraction
TraceLog,6023,edge_perturbation,0,11,11,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,6023,edge_addition,1,11,11,1,0.9166666666666666,0.0,0.0,1,0.0,0.0
TraceLog,6023,node_type_swap,0,11,11,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,6023,edge_type_swap,0,11,11,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,79981,edge_perturbation,1,13,13,0,0.8571428571428571,0.0,0.0,1,0.0,0.0
TraceLog,79981,edge_addition,1,13,13,2,0.8666666666666667,0.0,0.0,1,0.0,0.0
TraceLog,79981,node_type_swap,0,13,13,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,79981,edge_type_swap,0,13,13,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,102946,edge_perturbation,1,354,401,0,0.7782705099778271,0.0,0.0,1,0.0,0.0
TraceLog,102946,edge_addition,1,354,401,52,0.8852097130242825,0.0,0.0,1,0.0,0.0
TraceLog,102946,node_type_swap,0,354,401,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,102946,edge_type_swap,0,354,401,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,115426,edge_perturbation,1,550,618,0,0.7707736389684814,0.0,0.0,1,0.0,0.0
TraceLog,115426,edge_addition,1,550,618,80,0.8866571018651362,0.0,0.0,1,0.0014326647564469885,0.0
TraceLog,115426,node_type_swap,0,550,618,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,115426,edge_type_swap,0,550,618,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,9688,edge_perturbation,0,6,5,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,9688,edge_addition,1,6,5,1,0.8333333333333334,0.0,0.0,1,0.0,0.0
TraceLog,9688,node_type_swap,0,6,5,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,9688,edge_type_swap,0,6,5,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,64320,edge_perturbation,0,4,3,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,64320,edge_addition,1,4,3,1,1.0,0.0,0.0,1,0.25,0.0
TraceLog,64320,node_type_swap,0,4,3,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,64320,edge_type_swap,0,4,3,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,12856,edge_perturbation,1,609,686,0,0.7703225806451612,0.0,0.0,1,0.0,0.0
TraceLog,12856,edge_addition,1,609,686,89,0.8851612903225806,0.0,0.0,1,0.0,0.0
TraceLog,12856,node_type_swap,0,609,686,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,12856,edge_type_swap,0,609,686,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,121888,edge_perturbation,1,26,28,0,0.8064516129032258,0.0,0.0,1,0.0,0.0
TraceLog,121888,edge_addition,1,26,28,4,0.9032258064516129,0.0,0.0,1,0.03125,0.0
TraceLog,121888,node_type_swap,0,26,28,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,121888,edge_type_swap,0,26,28,0,1.0,0.0,0.0,1,0.0,0.0
TraceLog,93209,edge_perturbation,1,311,311,0,0.7720797720797721,0.0,0.0,1,0.0,0.0
TraceLog,93209,edge_addition,1,311,311,40,0.886039886039886,0.0,0.0,1,0.0,0.0
