dataset,method,graphs,changed_graph_rate,mean_edge_delta,mean_edge_jaccard,mean_node_type_change_rate,mean_edge_type_change_rate,schema_valid_rate,duplicate_edge_fraction,self_loop_fraction
ADFA-LD,edge_addition,200,1.0,132.08,0.9119565529052884,0.0,0.0,1.0,0.0031581878249965583,0.002064402943578898
ADFA-LD,edge_perturbation,200,1.0,0.0,0.8285117150640089,0.0,0.0,1.0,0.0,0.0021650872976169922
ADFA-LD,edge_type_swap,200,0.095,0.0,0.9936808945695383,0.0,0.00570635112002492,1.0,0.0044657808809700755,0.0
ADFA-LD,node_type_swap,200,0.005,0.0,1.0,7.407407276332378e-05,0.0,1.0,0.0,0.0
FlowGraph,edge_addition,200,1.0,5105.495,0.7465879114909514,0.0,0.0,1.0,0.03635260169144741,2.170658808609005e-05
FlowGraph,edge_perturbation,200,1.0,0.0,0.8485779627492797,0.0,0.0,1.0,0.031094555766477554,6.0005147679476065e-06
FlowGraph,edge_type_swap,200,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
FlowGraph,node_type_swap,200,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
TraceLog,edge_addition,200,1.0,27.975,0.899030869980116,0.0,0.0,1.0,0.01991504158048554,0.0005123096040915698
TraceLog,edge_perturbation,200,0.89,0.0,0.8111675581073109,0.0,0.0,1.0,0.0,0.0028892042429652064
TraceLog,edge_type_swap,200,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
TraceLog,node_type_swap,200,0.065,0.0,1.0,0.003990409597754478,0.0,1.0,0.0,0.0
