dataset,variant,seed,auc,ap,svdd_auc,svdd_ap,score_mode,checkpoint
ADFA-LD,all_four_diagnostic,11,0.838354,0.8290874305174165,,,normal_ecdf_svdd_unigram_markov,artifacts/results/ADFA-LD/ssl_augmentation_adfa_ld/all_four_diagnostic/seed_11/checkpoints/best.pt
ADFA-LD,all_four_diagnostic,22,0.84934,0.8246911424629281,,,normal_ecdf_svdd_unigram_markov,artifacts/results/ADFA-LD/ssl_augmentation_adfa_ld/all_four_diagnostic/seed_22/checkpoints/best.pt
ADFA-LD,all_four_diagnostic,33,0.824682,0.8265487661790683,,,normal_ecdf_svdd_unigram_markov,artifacts/results/ADFA-LD/ssl_augmentation_adfa_ld/all_four_diagnostic/seed_33/checkpoints/best.pt
ADFA-LD,edge_addition,11,0.835306,0.8347525065353298,,,normal_ecdf_svdd_unigram_markov,artifacts/results/ADFA-LD/ssl_augmentation_adfa_ld/edge_addition/seed_11/checkpoints/best.pt
ADFA-LD,edge_addition,22,0.851478,0.8357815675499336,,,normal_ecdf_svdd_unigram_markov,artifacts/results/ADFA-LD/ssl_augmentation_adfa_ld/edge_addition/seed_22/checkpoints/best.pt
ADFA-LD,edge_addition,33,0.82609,0.8266530843997254,,,normal_ecdf_svdd_unigram_markov,artifacts/results/ADFA-LD/ssl_augmentation_adfa_ld/edge_addition/seed_33/checkpoints/best.pt
ADFA-LD,edge_perturbation,11,0.837546,0.8372504583259275,,,normal_ecdf_svdd_unigram_markov,artifacts/results/ADFA-LD/ssl_augmentation_adfa_ld/edge_perturbation/seed_11/checkpoints/best.pt
ADFA-LD,edge_perturbation,22,0.8442940000000001,0.8383084221392993,,,normal_ecdf_svdd_unigram_markov,artifacts/results/ADFA-LD/ssl_augmentation_adfa_ld/edge_perturbation/seed_22/checkpoints/best.pt
ADFA-LD,edge_perturbation,33,0.8279080000000001,0.8278099883075286,,,normal_ecdf_svdd_unigram_markov,artifacts/results/ADFA-LD/ssl_augmentation_adfa_ld/edge_perturbation/seed_33/checkpoints/best.pt
ADFA-LD,edge_type_swap,11,0.820128,0.8235461274099057,,,normal_ecdf_svdd_unigram_markov,artifacts/results/ADFA-LD/ssl_augmentation_adfa_ld/edge_type_swap/seed_11/checkpoints/best.pt
ADFA-LD,edge_type_swap,22,0.8315779999999998,0.824995533088033,,,normal_ecdf_svdd_unigram_markov,artifacts/results/ADFA-LD/ssl_augmentation_adfa_ld/edge_type_swap/seed_22/checkpoints/best.pt
ADFA-LD,edge_type_swap,33,0.8207039999999999,0.8227051294977081,,,normal_ecdf_svdd_unigram_markov,artifacts/results/ADFA-LD/ssl_augmentation_adfa_ld/edge_type_swap/seed_33/checkpoints/best.pt
ADFA-LD,full,11,0.847358,0.8420865047304227,,,normal_ecdf_svdd_unigram_markov,artifacts/results/ADFA-LD/ssl_augmentation_adfa_ld/full/seed_11/checkpoints/best.pt
ADFA-LD,full,22,0.83966,0.8319733978357591,,,normal_ecdf_svdd_unigram_markov,artifacts/results/ADFA-LD/ssl_augmentation_adfa_ld/full/seed_22/checkpoints/best.pt
ADFA-LD,full,33,0.8474440000000001,0.8369576453298284,,,normal_ecdf_svdd_unigram_markov,artifacts/results/ADFA-LD/ssl_augmentation_adfa_ld/full/seed_33/checkpoints/best.pt
ADFA-LD,no_ssl,11,0.8248960000000001,0.8248418538376519,,,normal_ecdf_svdd_unigram_markov,artifacts/results/ADFA-LD/ssl_augmentation_adfa_ld/no_ssl/seed_11/checkpoints/best.pt
ADFA-LD,no_ssl,22,0.826944,0.8227268242190053,,,normal_ecdf_svdd_unigram_markov,artifacts/results/ADFA-LD/ssl_augmentation_adfa_ld/no_ssl/seed_22/checkpoints/best.pt
ADFA-LD,no_ssl,33,0.8249259999999999,0.8259794783461807,,,normal_ecdf_svdd_unigram_markov,artifacts/results/ADFA-LD/ssl_augmentation_adfa_ld/no_ssl/seed_33/checkpoints/best.pt
ADFA-LD,node_type_swap,11,0.822014,0.8242328011583134,,,normal_ecdf_svdd_unigram_markov,artifacts/results/ADFA-LD/ssl_augmentation_adfa_ld/node_type_swap/seed_11/checkpoints/best.pt
ADFA-LD,node_type_swap,22,0.8301580000000001,0.8244709575651443,,,normal_ecdf_svdd_unigram_markov,artifacts/results/ADFA-LD/ssl_augmentation_adfa_ld/node_type_swap/seed_22/checkpoints/best.pt
ADFA-LD,node_type_swap,33,0.8211040000000001,0.8236409426651554,,,normal_ecdf_svdd_unigram_markov,artifacts/results/ADFA-LD/ssl_augmentation_adfa_ld/node_type_swap/seed_33/checkpoints/best.pt
ADFA-LD,topology_only,11,0.841904,0.8371869351092943,,,normal_ecdf_svdd_unigram_markov,artifacts/results/ADFA-LD/ssl_augmentation_adfa_ld/topology_only/seed_11/checkpoints/best.pt
ADFA-LD,topology_only,22,0.8239179999999999,0.8127062113050386,,,normal_ecdf_svdd_unigram_markov,artifacts/results/ADFA-LD/ssl_augmentation_adfa_ld/topology_only/seed_22/checkpoints/best.pt
